1,be late for ～,～に遅れる
2,once in a while,時々
3,lose oneself in ～,～に没頭する ～に夢中になる
4,be incapable of ...ing,...することができない
5,at one's wit's end,途方に暮れて ほとほと困っている
6,be cut out for 〔to be〕 ～,～に向いている ～に適している
7,make a contribution to ～,～に貢献〔寄与〕する
8,turn to ～,～に頼る ～の方へ向く
9,be suitable for ～,～に適した
10,in the course of ～,～の間に ～の過程で
11,get ready for ～,～の準備をする
12,on the go,（常に忙しく）活動中で
13,in progress,進行中で
14,get in contact with ～,～に連絡を取る ～と接触する
15,lose sight of ～,～を見失う ～を見落とす
16,in no time,すぐに まもなく
17,as is often the case (with ～),（～に）よくあることだが
18,act on 〔upon〕 ～,～に基づいて行動する ～に作用する
19,pick out ～,～を選ぶ
20,be similar to ～,～と似ている
21,single out ～,～を特に選び出す
22,have ～ in common (with ...),（...と）共通の～を持つ （...と）～を共有している
23,be afraid to do,怖くて...できない
24,see A as B,AをBとみなす〔考える〕
25,at first glance,一見したところ 一目見ただけで
26,be anxious to do,...することを切望する
27,make haste,慌てる 急ぐ
28,at (one's) ease,気楽に 安心して
28.1,not possibly,どうしても...ない
28.2,would rather ～ than ...,...するよりむしろ～したい
28.3,the chances are that ...,おそらく...だろう
29,(just) around 〔round〕 the corner,間近に来て
30,come into effect,（法律･制度などが）発効する〔実施される〕
31,become of ～,～はどうなるのだろうか（※通例whatが主語）
32,at present,現在は
33,go a long way to 〔toward(s) ; in〕 ～,～に大いに役立つ 効果がある
34,participate in ～,～に参加する
35,such as ～,たとえば～（のような）
36,brush up (on) ～,～（知識・技術など）をやり直す
37,be content with ～,～に満足している
38,all of a sudden,突然
39,at home,家で 本国で
40,go by,経過する 通り過ぎる
41,be of no use,まったく役に立たない
42,by all means,何としても ぜひとも
43,keep 〔bear〕 ～ in mind,～のことを心に留めておく
43.1,"～, when ...",～そしてその時...
43.2,it is ～ that ...,...することは～である（形式主語のIt）
44,go on (with ～),～を続ける 続く
45,add A to B,AをBに加える
46,hear of ～,～のうわさを聞く
47,once upon a time,昔々
48,keep an eye 〔one's eye(s)〕 on ～,～から目を離さない ～を見張る
49,go off,去る 爆発する （明かりが）消える
50,present A with B,AにBを見せる AにBを贈る
51,next to ～,～に次いで ほとんど
52,point out that ...,...だと指摘する
53,account for ～,～を占める ～（の理由）を説明
54,pay (A) for B,Bの代金（としてA）を支払う
54.1,if S were to do,もし...することがあれば〔あっても〕
54.2,were it not 〔had it not been〕 for ～,もし～がなければ〔なかったら〕
54.3,to one's＋感情を表す名詞,...したことには
54.4,be S ～ (or ...),Sが～であろうと（...であろうと）
54.5,not always,必ずしも...（とは限ら）ない
54.6,"～, so that ...",～それで... ～その結果...
54.7,whatever (may) ...,たとえ何が〔を〕...しようと
55,what is called ～,いわゆる～
56,in detail,詳細に 詳しく
57,spend A on 〔for〕 B,A（金・時間）をBに費やす
58,give ～ a ride 〔lift〕,～を車に乗せてあげる ～を車で送る
59,in a hurry,急いで 慌てて
60,watch out (for ～),（～に）気をつける （～に）用心する
61,under construction,工事〔建設〕中の
62,make a mistake,間違える 失敗する
63,have an 〔a good〕 eye for ～,～に対する鑑識眼〔見る目〕がある
64,a piece of＋不可算名詞,1つ １点 １件
65,make a 〔one's〕 living,収入を得る 生計を立てる
66,second to none,右に出るものはいない
67,take the trouble to do,わざわざ...する 労を惜しまずに...する
68,out of date,時代〔流行〕遅れの
69,for the present,差し当たり とりあえず今は
69.1,too ～ (for A) to do,（Aが）...するには～すぎる
70,a host of ～,たくさんの～ 多数の～
71,hand down ～,～を手渡す ～を後世に残す
72,for a while,しばらくの間
73,hang on (to ～),（～を）手放さない （～に）しがみつく
74,in particular,特に
75,put ～ to use,～を利用〔使用〕する
76,take up ～,～（割合など）を占める ～（仕事など）を始める
77,put out ～,～（本など）を出版する ～（火・明かりなど）を消す
78,adapt A to 〔for〕 B,AをBに適応させる AをBに適合させる
79,take a chance 〔chances〕,思い切ってやってみる
80,many a 〔an〕 ～,多くの～
80.1,it appears (to ～) that ...,（Aには）...のように見〔思〕える
80.2,A as well as B,BだけでなくAも
80.3,it costs S ～ (金額) to do,S（人）が...するのに（金額）かかる
80.4,be in the habit of ...ing,...する習慣になっている
80.5,both A and B,AもBも AとBの両方
81,at will,意のままに
82,of one's own accord 〔free will〕,自発的に 自らの自由意思で
83,be bored with 〔of〕 ～,～に退屈している ～にうんざりしている
84,see (to it) that ...,...するよう取り計らう〔気をつける〕
85,to the fullest 〔full〕,十分に 思う存分
86,with all ～,～ばかりなので ～にもかかわらず
87,break out,（戦争・災害などが）突然起こる
88,be true of ～,～に当てはまる
89,be liable to do,...しやすい傾向にある ...する義務がある
90,be of interest,興味深い
90.1,remember to do,忘れずに...する ...することを覚えておく
90.2,not only A but (also) B,AだけでなくBも...
90.3,to tell (you) the truth,実を言うと
90.4,cannot (help) but do,...しないわけにはいかない どうしても...してしまう
90.5,no matter how (S) may ...,どんなに...であろうと
91,be absorbed in ～,～に没頭する ～に夢中になる
92,get tired from 〔with〕 ～,～で疲れている
93,put in ～,～（時間など）を費やす
94,be compelled to do,...せざるを得ない
95,go ahead,（許可などを表して）どうぞ 進んで行う
96,concentrate (A) on B,（Aを）Bに集中する
97,get on with ～,～を続ける ～をどんどん進める
